document-label,document-text
leavenworth-area-climbs,"Cragging at Leavenworthless
Dan Perrakis and I played on Castle Rock Saturday. We did the Fault, Catapult (1st pitch) and the Bone on the lower rock, then Canary on the upper."
index,"Index cragging, and a hike!
Jule answered my call for cragging.  Neither of us had been to Index, so we thought we'd give it a try."
leavenworth-area-climbs,"cragging at Leavenworth on Sunday
Ralph, Betsy, Kevin Ramsey, and myself went to Leavenworth Sunday to do some cragging.  We had some miscommunication with Stebbi, Lilja, Colin, and Lizzie, so unfortunately we did not meet up with them."
mount-baker,"Bouldering on the Coleman
Eight Climbing Clubbers played on the seracs on the lower Coleman glacier, below Mt. Baker, last Saturday."
mount-baker,"Coleman Blue Ice Bouldering
A jolly group consisting of Aaron, Chris, Greg, Holland, Jule, Mark, Marcie, Ryan, Tom, and Sidney the dog, braved mist and moisture to climb ice on the Coleman last Saturday (Oct. 19)."
mount-rainier,"&quot;Early&quot; Season skiing below the muir snowfield
Sunday morning Matt Peters, Phil Higuera, Emily Falls, John (dont know last name), Dan Perrakis and I set out for the Muir Snowfield.  \
Enough snow at paradise to put skiis on from the parking lot."
mount-rainier,"Pan Point @ Rainier
Ania, Heath, Josh, and I went to Paradise Saturday.  For some reason, they didn't open up the road from Longmire until 10 AM."
index,"Learning to aid at Index, Feb. 7
Jon, Gary, and I went to Index to teach ourselves how to aid climb.  I led a 25m pitch in an hour and a half (thanks to Jon and Gary for the belay)!  After trying a few moves, Jon cleaned the gear, ascending on prusiks."
mount-rainier,"Mt Rainier - Ingraham Indirect (2/9/03)
The story of a long, fun weekend.\
\
Nick Bratton, Dan Perrakis, Andy Lewis and I drove to Paradise on Friday afternoon, which went really well because we took the quickest route possible."
leavenworth-area-climbs,"Levenworth TR 2003
While most of the UW climbers went to Vantage, Me, Aaron Z. and Alex left the U district at 6:30 am for Levenworth!! the weather was snowy and cloudy all the way over Stevens pass."
leavenworth-area-climbs,"Leavenworth and Drier Points East, Apr. 12-13
I enticed Dan to join me on a trip out to Leavenworth, promising a full two days of climbing on beautiful granite.  We drove through the rain near Index Saturday morning but our spirits lifted when the sky got drier as we crossed the pass."
leavenworth-area-climbs,"Leavenworth
Ralph, Eric, and I left Seattle around 8:30 to head to Lworth.  We made it\
there in record time and drove 2."
mount-rainier,"Camp Muir
I went to Mount Rainier with the intention of whipping my dad into shape for the summer climbing season on Saturday and was greeted with intensely sunny skies above 5000 ft.  I put sunscreen on three different times but the sweat kept taking it away so I ended up still getting burned."
mount-stuart,"Stuart Glacier Couloir
I climbed the Stuart Glacier Couloir with Dalius Gylvidis and Josh Kaplan over the weekend. \
\
It's not really \""in\"" yet - there is a lot of snow in the couloir (we didn't rope up until on the ridge) and the ridge is plastered with rime ice and snow mushrooms (we had to aid some stuff, excavate for hours, got off route, prusiked up a rope at one point, all kinds of shenanigans)."
index,"Index: Tuesday Trad
I took Mike Schmitt's offer for going to Index, though I warned him that I considered myself a 5.8 leader."
index,"Index LTW/GNS
Eric and I went to Index for the morning and found things surprisingly dry.  Unfortunately, I wasn't feeling 100%, so I wasn't going to let Eric con me into leading Godzilla (I'll lead it some time this summer!)."
mount-baker,"Mt Baker N Ridge, June 25/26
Matt's photo caused Gary and me to go climb the N ridge of Baker, and it really was quite pretty. We bivied on the Coleman at 7300', and left at 2am to cross over to the base of the N ridge."
index,"Index in the sun!
Eric went to Index during a sunny day for the first time this year!  He was accompanied by myself and the infamous TLG from CC.com."
mount-rainier,"TR:  Rainier via Emmons Glacier, 7/6
Dustin and myself climbed Rainier last Sunday via the Emmons Glacier route.  Originally we were supposed to be three people but ended up as two in the last minute."
index,"more Indexing today
I hadn't been out since July 14 and was feeling antsy.  We managed to sneak out to Index for a few hours of climbing, getting back to Seattle by 1 PM and without my advisor suspecting a thing (he'd wring my neck if he found out that I went climbing this morning instead of working)."
mount-rainier,"Rainier, Fri July 18 - Sat July 19
We set off from Paradise around noon on Friday.  The weather was gorgeous\
and we could see Adams, Hood, and St."
index,"Yet even more Index
I cursed and thrutched through a squeeze chimney and then flailed my way up a 4\"" crack, having to hang on gear once.  The mighty forearm jam was quite helpful."
mount-stuart,"Just another wannabe chestbeat TR....
I finally thrashed my way up Stuart's N. Ridge yesterday."
mount-rainier,"Rainier DC TR
Went up to Muir with the multitudes of people on Tuesday the 19th and summited at sunrise on Wednesday the 20th. Not a cloud in the sky, light winds, and relatively warm temperatures for the summit."
index,"unofficial UWCC shendig on GNS (Index)
Ania and I went to Index Saturday to climb some stuff.  It was her third day of leading trad."
index,"Index Extravaganza
Dan Perrakis and I went to Index this past hot, sunny Sunday.  For a warmup, I sandbagged Dan and convinced him to lead the first pitch of Aries (the short 5."
snow-creek-wall,"Snow Creek Wall - Outer Space
My friend, Deryck, and I climbed outer space on snow creek wall yesterday.   Pretty good weather for as late in the season as it was, although we were sprinkled on for about 5 minutes for pitch #5."
leavenworth-area-climbs,"cc.com Ropeup (Lworth &amp; Vantage)
I scored a ride to the rope-up at the last minute with climbinggirl33 from cc.com, and we soon found ourselves at Alphabet Rock."
leavenworth-area-climbs,"Great way to spend a thursday
The 5.9+ where the trail meets the rock is called Celestial Groove and it was fantastic."
leavenworth-area-climbs,"Not Skaha
After getting kicked out of Canada, we decided to test our luck with Bavaria.  \
\
We were at Mountie Dome by about 4 PM on Saturday and got everyone up to speed on belaying and cleaning gear."
