"label","title","text"
"mount-challenger","A near epic at Challenger","Earlier this summer Noel Vaughn, Gary Yngve, Arni Magnusson and I set out to climb Mount Challenger in the North Pickets, and traverse through North Cascades National Park from west to east while we were at it. This turned out to be quite a trip - read on for the full story. \
\
I started planning the Challenger trip months in advance, after hearing about the awesome experience another friend had in August 2001. They had two groups of 6-7 each, one group that traversed from Hannegan Pass by Easy Ridge to the Challenger Glacier and then out by Wiley Ridge and down the Big Beaver River valley, and another group that reversed this itinerary. It took five days, everybody met close to the summit and at the trailheads after the trips they simply got into each others cars, drove back to Seattle and threw a big party. Fittingly enough they called the trip the \""Challenger Simul-Traverse\""...\
\
I wanted to duplicate their trip fairly closely, and initially quite a few people expressed interest but as it drew nearer to August 7, our departure date, it became clear that we only had enough people for one direction. Then two more people bailed and we were suddenly left with four climbers and one car, complete with a permit to camp one night on Easy Ridge, then three nights on the Challenger Glacier which meant we would have to pound Wiley Ridge and the Big Beaver trail in one, long haul. Heh, we promptly decided we'd throw a full-on 60m 10.5 mm climbing rope and a rock rack into the already heavy packs, and spend one day climbing Crooked Thumb after summiting Challenger.\
\
I remember thinking something like, oh well, nothing the trip throws at us will be worse than all the catherding I went through to get things going. \
\
Boy was I wrong.\
\
We drove to the Hannegan Pass trailhead on Tuesday August the 6th. The morning after we set out around 9 am and made the pass in a couple of hours. It was clear from the beginning that Noel and I preferred a somewhat faster pace than Arni and Gary but that was alright - we were all keen on keeping the group together. \
\
From Hannegan Pass we dropped down into the Chilliwack River Valley and hiked on to the US Cabin campground. A little further down is a cable car crossing of the Chilliwack and I had been told that the climbers' trail leading up to Easy Ridge was \""across from the campground\"" - this came from a ranger, who also told me that we should cross the river using the cable car. \
\
[img:139kkhtz]http&#58;//www&#46;angband&#46;org/~gary/challenger/zp0006368&#46;jpg[/img:139kkhtz]\
\
We followed these directions faithfully, and bushwhacked for five hours that afternoon looking for the non-existent trail. It was getting dark when we gave up, crossed the river again and set up camp at US Cabin. \
\
The morning after we crossed the river right there, on a big log. We started bushwhacking again looking for the trail, but still couldn't find it. It wasn't until later that we found out that there is another campground, across the Chilliwack from Easy Creek, where climbers normally stop before going on to Easy Ridge. The much-looked-for trail is across from [b:139kkhtz]that[/b:139kkhtz] campground, not US Cabin Camp. So we never found it where we were looking. Instead we bushwhacked for eight hours, through alder, devil's club, huckleberry bushes and regular old trees, past cliffs and whatnot, to finally gain the crest of the ridge in the mid-afternoon. To add insult to injury we finally found the much-wanted trail less than 15 minutes from the crest. Here's a Where's Waldo-type illustration of our trip so far - can you find the hidden climber?\
\
[img:139kkhtz]http&#58;//www&#46;angband&#46;org/~gary/challenger/zp0006369&#46;jpg[/img:139kkhtz]\
\
Easy Ridge is an amazing place. It's really big and flat, there is enough space for a whole parade up there, but the northern side is sheer and drops down to permanent snowfields below. We made short work of the hike along the ridge and put up the Climbing Club's three person tent a little after dark, in a good spot overlooking Whatcom Peak and Perfect Pass. By now we had spent 13 hours bushwhacking where none was really needed, all because of bad beta - and my naivete. Lesson #1 - only listen to the climbing rangers when planning climbing trips. The other rangers should be sent to bushwhacking school en masse. We were pretty beat, especially Arni and Noel.\
\
Phew... I'll finish this later!"
,"Colchuck Balanced Rock- West Face","I've been eying this line for years and when I finally found some one dumb enou....I mean crazy enough to follow my ass up this route I jumped at the opportunity. Boy were we in for a treat.
In our infinite wisdom, we attempted to do the whole thing in a day from Seattle, rather then crash in the Colchuck Lake parking lot and get a early start from their. We would pay later for our lack of foresight as will be shown. We arrived at the Colchuck Lake trailhead around 730am packed up our &quot;light and fast&quot; packs and headed towards the climb. We made good time and made it to the basin below Balanced Rock around 12pm. We got our bearings on the route and started climbing

[img:2qi5lb67]http&#58;//www&#46;cascadeclimbers&#46;com/plab/data/500/CBR_11&#46;jpg[/img:2qi5lb67]

Pitch 1 is rated 10b but it is really just a one move wonder to a huge jug. It is also about as short as a guys member after getting out of a cold pool. Pitch 2 involved a 5.7 chimney followed by a sweet (Pitch 3) 5.9 corner crack:

[img:2qi5lb67]http&#58;//www&#46;cascadeclimbers&#46;com/plab/data/500/medium/CBR_17&#46;jpg[/img:2qi5lb67]

Some root pulling and tree climbing (Pitch 4) got to the base of the money pitch. I am not sure if I can describe in words how unbelievable the 5.11 crack on pitch 5 is. The crack is a thing of beauty with unbelievably solid hand jams straight up.

  [img:2qi5lb67]http&#58;//www&#46;cascadeclimbers&#46;com/plab/data/504/medium/5851_1179285450287_1472696440_30475158_3373087_n&#46;jpg[/img:2qi5lb67]

Hanging once, I need to get back out there to do it clean, I finish underneath the huge gaping maw that is the start of Pitch 6. If Pitch 5 is the spiritual uplifting pitch then pitch 6 is the back to earth, dude we are really fricking high, and underneath a really big f***ing roof pitch. I tried working the awkward moves on it but seeing as slab climbing while grabing sloppy holds and placing gear at the same time didn't really appeal to me(Read: I am a wuss) I did the next best thing and aided the bastard.

[img:2qi5lb67]http&#58;//www&#46;cascadeclimbers&#46;com/plab/data/500/CBR_26&#46;jpg[/img:2qi5lb67]

Pitch 7 climbs a fun but a little awkward 5.9 crack to 5.12/C-1 roof. Don't underestimate the chimney on Pitch 8. I laughed my ass off watching my partner clutch and claw up up this thing until it was my turn and found myself whining like a little baby as well. Now here was the fun part for us. Seeing as we got such a late start we didn't top until dark. Which made route finding to the summit problematic. We prevailed and it was at this point that we got Nelsoned. Nelsons guide book neglects to say anything about rapping anything. Not a huge issue if you can see but not expecting a repel we were a little dumb founded until we noticed the slung chicken heads. Also Nelson's guide says descend sandy ledges south. Where south? Directly south towards Coluchuck Lake and off a cliff, south and left towards Asgards Pass, or south and right towards the base of the route, where south? (Just a note: I realize that none of this would have been a problem if we had given ourselves more time to do the route, in the light, rather take our sweet ass time and finish it in the dark but hey whats a TR without a random rant about Nelsons guide books.) Needless to say we paid for our lack of vision, literally and figuratively, and spent most of the night meandering around until we found the way down oh around 6am. From that point it was grab our shit and make b-line for the Sleepy Lady and their amazing bacon breakfast burritos.
In closing, this route is probably up there with one of the best routes I've ever done. Beautiful scenery and amazing climbing will be had if you choose to do this route which you should.

PS: All photo creds go to my partner Dan E. Sorry I took such crappy pictures, I'll try and do better next time Dan. And I know my grammar is bad so deal!!!


Gear Notes:
Double sets through #3, 1 #4 and a set of micro's if you plan on aiding the 5.12 roof.



Approach Notes:
Easy. My only suggestion is bring an I-Pod for the hike in because the approach trail to Colchuck Lake kind of blows (It is actually very beautiful hike but this is my third time hiking in on this trail and I needed something to take the edge off)"
,"Spray Park","Hey all,\
My network went down, so I have to waste some time.  \
Collin and I set off for my mellow mid-week trip to spray park to get some cool pictures of the wildflowers and possibly ski the flett glacier.  One problem, a mellow trip can't happen when you leave the car with a rope, ice rack, and ice tools.  Running shoes, posh trails, beautiful meadows lead us to the north face of observation rock.  We decided to go for it.  Some steepish snow/alpine ice/front-pointing in telemark boots/our lack of desire to get out a rope forced us to exit the n.f. about half pitch from the top onto this \""rock band\"".  I don't know if it is just me or the cascades in general, but I am a magnet for being on the nuus.  I hate that red/flakey/crumbly crap.  An hour of sketchy downclimbing got us back onto the glacier.  A cloud covered Rainier so the snow didn't soften up as I would have liked.  But I put on the skiis anyway because I carried the things this far.  Some good turns then survival skiing on hard suncups brought us back into the running shoes.  Some cool pics of wildflowers and on home.  All and all, a \""MELLOW\"" day in the cascades.\
\
The DCCP!!  <!-- s:twisted: --><img src=\""{SMILIES_PATH}/icon_twisted.gif\"" alt=\"":twisted:\"" title=\""Twisted Evil\"" /><!-- s:twisted: -->"
"ruth-mountain","Ruth Mtn TR","Five of (Stebbi, Lilja,Throstur, Ania, and I) us set out for the Ruth Glacier\
on Saturday. The weather looked pretty iffy as we drove up I5 and we even\
debated going to Silver Star instead, but pushed on to Ruth anyway. The\
valley was pretty socked in with clouds and we only really got drizzled\
while we hiked in.  When we stopped on the ridge to set up a camp, it\
started to get a lot colder and more rainy. After fumbling to set up a\
tarp to keep the gear more or less covered and set up tents, we picked\
lots of blueberries (!!), ate dinner and took little walks around the area\
to stay warm. We could see down the valleys on either side of the\
ridge, but we didn't have a clear view of Hannegan Mtn, Shusksan, Ruth\
or anything... At some point it stopped raining, and started to clear up,\
we got a nice sunset view at the west end of the valley and the two guys\
had hiked along the ridge further to scout out the route for the\
morning... We crashed around 9, mainly because it was cold and we didnt\
have anything else to do. Stebbi had planned to sleep in a bivy and down\
jacket--this plan lasted maybe 4 hrs when he was too cold and\
uncomfortable, he squeezed into one of the tends and slept on and off till\
morning. We were up and moving sometime after 8 (no early alpine start!),\
debated still if we felt up to the summit, as things were still pretty\
socked in, but decided to go for it. We made the summit in a few hours.\
While we played around and took some pictures (mainly of each other, since\
there was no summit view to speak of--we only could see the bottom 3rd of\
Shuskan...), light snowflakes started to fall. As we descended, the clouds\
filled in behind us.\
\
I'm glad we went on the trip. We had a good time, enjoyed each others'\
company, Ania and I learned a *teeny weeny* bit of Islandic, Lilja\
persisted great in spite of blistered heels, Thorstur experienced his\
first ever backpacking and climbing trip, and Stebbi woke up realizing he\
wanted to buy a new tent! I'd happily go there again and see all the views\
so many of you told me to expect. Plus, it looks like a really good ski."
,"The Enchantments","My parents and I went on a trip to the Enchantments Tues-Thurs.  We were at the ranger station bright and early at 7:45 for the \""lottery.\""  There were 8 slots available for the Enchantments region and 12 people wanting them.  Somehow all 12 got permits fot there. <!-- s:) --><img src=\""{SMILIES_PATH}/icon_smile.gif\"" alt=\"":)\"" title=\""Smile\"" /><!-- s:) -->\
\
Soon we were on the trail, overnight packs and all.  My parents were real troopers, hauling up from Snow Lake TH (1100 ft) to our campsite by Lake Vivianne (6800 ft) in a day.  The weather was not too hot, and there were streams everywhere -- the water filter is so worth its weight in gold.  By evening, we were lounging around camp, watching the last rays of sun leave Prusik Peak.  No wind, no bugs, clear blue skies.  Also hardly any people -- most people were taking two days to reach the Enchantments from Snow Lake TH, and the predicted bad weather Sat-Mon likely scared away others.  \
\
My parents got a gift from a friend which was money to be spent on camping food.  We went to REI and bought six Mountain House meals: chicken teriyaki, three-cheese lasagna, three-bean chili, homestyle turkey and potatoes, beef stroganoff, and caribbean rice and beans.  Overall, the food was quite tasty, though the meat portions were scarce (we made up for this by eating eggs and horsecock for breakfast).  I finally succeeded in emptying my fuel canister from Challenger... it just kept on going and going...\
\
Wednesday was a nice day as well.  We wandered around the Enchantments to Asgaard Pass, taking many pictures along the way.  Streams everywhere; no need to carry water.  No golden larches quite yet though.  We saw a few people, but not too many.  Most had come up Asgaard Pass.  There was a cool elderly couple who had climbed Whatcom Peak years ago.  We scrambled up the Enchantment Ridge and headed to its westernmost point, giving grand views of Dragontail, Colchuck, and Stuart.  The skies had very little haze in them, and we could make out Glacier Peak and even Mount Baker.  Towards the end of the day, we stopped by Snow Creek Glacier (between Dragontail and Witch's Tower), and I gave my dad his first experience with axe and crampons.  The snow was very hard, but soon he was jogging traverses on 25-degree slopes.  We got back to camp an hour before dark and started to prepare dinner.  All of a sudden, we saw two mountain goats to the left of camp, two to the right, and one in front... They had us outflanked!  We were ready to surrender and start urinating, but it turns out they were just passing through so they could drink at the lake.  \
\
Thursday we slept in, ate a casual breakfast, and then descended.  The descent wasn't terribly noteworthy, except that unlike the previous days, it was really really hot.  But the filter made everything happy. <!-- s:) --><img src=\""{SMILIES_PATH}/icon_smile.gif\"" alt=\"":)\"" title=\""Smile\"" /><!-- s:) -->  We got back to the car in mid-afternoon and drove home.  We saw a lot more people on the trail compared to the previous days, and the bugs were starting to appear again."
"vesper-peak","TR: Vesper Peak (N Face)","Colin and I climbed Vesper Peak this past Wednesday by the North Face (described in Nelson's Vol. II).  We left Seattle a little past 4am and were off on the trail just as the sky was starting to lighten.  Carrying light packs, we cruised up the trail and located Headlee Pass, which was easy since both of us had been up to Vesper before.  I had gotten off-trail and wandered up the wrong gully last time I was there, and this was Colin's fourth attempt on the North Face, so there was no way we'd get lost this time.\
\
After a snack just after the scree crossing, we followed the trail further and then turned right to drop down on snow and slabs to the notch above the lake.  A short scramble took us down onto a rocky finger poking at the melted glacier.  There were some big cracks, but easily navigable.  We had been worried about the moat crossing and spent a bit of time trying to pick out the best line up the steeper lower wall.  We saw a couple possible snow bridges and picked one that led to a clean-looking slabby gully system on the right side of the large \""depression\"" that Nelson mentions.  We ended up having to traverse a bit under the big upper slab several pitches later, but our route seemed to be the best option at the time.\
\
Still in the shade, the glacier was firm and lovely under our crampons.  We crossed the moat, racked up, and I led the first pitch on good rock through a 15' section of hand jams to a slightly sketchy traverse on slabs and a decent ledge belay.  I had to downclimb a bit mid-pitch after a promising finger-size undercling under a roof turned out to be a bottomed-out dirty groove.\
\
Colin took the next lead and the protection got more sparse.  He took a long time to find and set up a belay, as I would on the next pitch, a weird scramble up bulges and dirty cracks with little pro (I dislodged two of my nut placements with my feet and rope drag).  Once I ran out of rope, I agonized over finding an anchor.  I managed to get a #2 tricam to stay put long enough to equalize it with a pair of nuts wedged against each other.  A medium nut in a flared, shallow constriction completed the system, and I braced myself against the surrounding bulges to bring Colin up.  By now, we were both a little freaked out about the lack of pro, although the climbing was easy.\
\
The next couple hundred feet of scrambling led under the base of the slab and up through some steep heather-and-rock conglomerate.  Colin then took off for a short slab pitch to a ledge, where we managed to get in a couple small nuts, wanting to save the yellow Alien Colin had initially anchored with for the next slab pitch.  I led up and somehow found three or four gear placements in the slab's shallow horizontal grooves.  My new Mountain Masters were performing admirably on the friction moves and I was feeling much better about the climbing.   \
\
We moved the belay up the ledge to the base of the long right-facing corner leading to the top.  Colin's next lead was on plenty of good gear in the corner, and he set a belay to bring me up for the last 30m pitch (two pieces of pro).  We aired our feet in the sun and ate copious horsecock and crackers.\
\
The descent was quite nice, on slabs all the way down to the trail.  It had taken us a while to climb each pitch, mostly because we fretted with gear and with setting up belays, so it was getting on into the afternoon.  We had only 4 miles or so to hike out, but we hurried down, only stopping at Headlee Pass for water and blister prevention and at the river crossing to put on headlamps.  We reached the car at sunset, truly a full day behind us.\
\
Contemplative TR and a few photos also available on my website: [url:e4cu00qh]http&#58;//bodenner&#46;net/~rkb/climb/vesper-sep-11-2002&#46;php[/url:e4cu00qh]"
,"TR: Ingalls Peak","Daniel is a buddy of mine from the Mountaineers and also a grad student in physics at UW (yep, I told him to join UWCC).  Both of us lack cars, so we haven't done anything together all summer.  This weekend we rented a car and left for the mountains.\
\
Friday night we drove to Ingalls TH.  We parked next to another car but at a little angle so we could sleep in the parking lot in the gap between.  To our surprise, the car left around midnight, and every time we heard a car in the parking lot, we woke up, wondering if they were going to run us over.  It was pretty chilly, and we slept in late, not hitting the trail until 7:15, leaving the TH at the same time as six Mountaineers.  We made good time to Ingalls Pass and proceeded, in fine UWCC tradition, to get lost, taking a trail that went down to the valley.  We corrected ourselves and were soon at Ingalls Lake.  Streams near the lake were covered in thin sheets of ice.  It must have been even colder up there.  We then headed up, and again, in fine UWCC tradition, got lost... we scrambled up a 3rd class gully that turned into loose 4th class stuff, topping out on a ledge somewhere on the East Peak\
(we got the North-East notch confused with the South-North notch).  We found a horn, rapped down, and got ourselves to the start of the route of the South Ridge -- still ahead of the six Mountaineers, but behind a group of three.  \
\
The South Ridge was quite fun.  Daniel and I climbed it with boots and pack, and we each had all sorts of unnecessary crap in our packs (I thought I left that bottle of fuel at the car!).  Two pitches on really bizarre rock but well-protected.  You have to see and feel the rock to appreciate it.  Ranges from super-frictiony to super-slick.  Beckey's right -- you don't need cams for the route, but I still lugged four with me.  The climbing was uneventful, except for when I put Daniel on belay at the top.  Somehow I managed to scrape my elbow against the rock while screwing with my pack with my nonbrake hand.  Normally no big deal, but I had a scab there from last week, and the rock ripped it right off.  So by the time Daniel came up, the slab just below me was covered in red polka-dots (I was trying to steer the drops of blood away from any clothes/gear).  \
\
We spent quite a bit of time on the summit -- great views of four volcanoes, among other cool mountains.  We hooked up with the group of three in front of us for the rappel down.  They had a 50 m rope and a 60 m rope, but apparently a 50 m rappel teeters out just short of the ledge.  The other two of that group weren't eager to downclimb, so we offered our rope in exchange for a ride down (that way we didn't have to descend the SW face and get lost again).  I was last on that rope, and they had tied a double fisherman, so I slid the knot over the lip and beyond a crack.  I began to rappel, and stupid me, five feet down, I hit the knot.  I whipped out prusiks, passed the knot, and got going again.  Down at the bottom, we saw a guy screw up.  He was belaying his follower and was careless on the rope management, letting the pulled-in rope slide down the slab, down as far as thirty feet.  Naturally, the rope found a horn to get stuck on.  Luckily there was a party climbing just below who freed their rope.  Sometime around then, a blue pocketknife with the corkscrew open came bouncing down from the top.  Back at the parking lot we bumped into a UW EE grad student (Shree, I think) who was planning on doing WR Sherpa the next day.  Told him about UWCC too. \
After a bit of a drive, we were in Leavenworth for beer and dinner at Gustav's.  We found a pullout off the road somewhere and slept behind the car.  \
\
The next morning we headed to Castle Rock.  We were planning on doing Saber and Midway.  We found the large corner that was Saber but weren't sure how to start it.  I first started on the buttress to the right and traversed a ledge to within spitting distance of Saber.  Here all it was just a single committing step to enter the wide crack/chimney and continue up. But the handholds weren't great and there was no pro to guard the traverse (I think there might have been handholds or pro had I been taller).  I didn't place any pieces on the way up because I didn't want hellish ropedrag, and the ground seemed around 25 feet below me... and I ended up wimping out and downclimbing.\
\
I then tried to go up the wide crack/chimney from the very bottom.  The first move required gaining a small overhang.  The crux turned out to be a weirdish stem/mantle/fist jam.  I wasn't quite flexible to bring my foot up to where I needed it, so I used my free hand pull my leg up.  Soon I was on the other side of that airy step, ready to continue.  Going the crack from the bottom seems like the more aesthetic line, but it's also a lot harder than 5.4... but it's well-protected.  Heeding Ralph's warnings, I made sure I found the ledge and the bomber bolts.  Daniel followed up, taking the buttress on the right up yet cleaning my gear at the same time (he cleaned the nut from the ground, and he pulled the slip-knot on the horn off from above).  And he teased me that the step across wasn't so bad at all.  The second pitch was straight-forward, and we were soon on top.  We took a couple pics, and when we wanted to take a group pic, we set the timer and anchored the camera to the boulder with a blue alien that fit perfectly into a small slot.  \
\
We then descended and decided it was too hot and too crowded to try any more routes and went to get ice cream.  At the parking lot now was an old guy selling apples out of his pickup truck.  The pricing: one apple free, one big box of apples, six dollars.  After that one apple, we had to get some more (don't crack dealers also use this strategy?).  We split a box and headed for the DQ in Leavenworth.  Daniel, being a German citizen, found the town quite humorous.  In Bavaria, the McDonalds there just look like plain McDonalds.  We had a smooth drive back to Seattle.  US2 is much more pleasant in the daytime than at night.  We tuned into NPR and he found out the results of the German elections.  The people he wanted got elected -- a perfect end to a fun weekend.\
\
Damn, I didn't realize I wrote this much!"
"leavenworth-area-climbs","Cragging at Leavenworthless","Dan Perrakis and I played on Castle Rock Saturday. We did the Fault, Catapult (1st pitch) and the Bone on the lower rock, then Canary on the upper. Fun stuff. A regular set of cams from finger to #3 Costalot and a set of wires does the trick. The Bone and the upper (step-across) pitch of Canary are a full rope-length each so don't lighten the rack too much. Include a fingernail-sized microstopper to protect the somewhat bouldery beginning of the 1st pitch of Canary. It won't protect you from grounding but it will protect you from trundling down the hill if you set it right.\
\
We camped at Eight Mile with Dwayner and mtnrngr after running into those guys at Gustav's (@#$% $10 burgers but hey, the beer's alright). Dwayner gave us a cool topo hand-drawn on a napkin that would have been useful the day after except we lost it 5 minutes later. Apparently he guided at Leavenworth for a couple of decades, he knows those climbs down to the last crystal. Then bolts were discussed while mtnrngr and I grew glassy-eyed. I think the mutual agreement was that they completely disagreed that sport climbing is neither but then again I was spacing out at the end of all of that.\
\
The morning after Dan had to pee so we climbed Snow Creek Wall. Luckily he had beer at Gustav's the night before so his bladder chased him out of the sleeping bag early enough to get first in line for Outer Space. Stroke of luck #2 was that the 3rd party on the wall was slow moving and receiving moral support from the 2nd party which therefore didn't move that fast either, so we had no stress. There were [b:1y8wtkrr]a lot[/b:1y8wtkrr] of people that showed up but I think all the other parties turned around.  \
\
That climb is superb, the 4-5 cruxes are 10' or less and go at 5.8 and 5.9, but it's a long 6 pitches with a whole lot of incredibly exposed 5.6-5.7 - did I give that enough emphasis? I meant [b:1y8wtkrr]incredibly[/b:1y8wtkrr] exposed. Yell-for-mommy exposed. It was too long and burly for me, I am psyched to be getting back into this stuff after having scared myself out of it in May but didn't have either the head or the muscle for leading any of the interesting pitches. Dan ropegunned, I was impressed. The climbing we did Saturday is a whole lot harder psychologically than what we did Saturday. \
\
Some quantitative tidbits for all you schemers - we were at the base of the wall at 7:30 am and took 8 hours to finish. That was quite leisurely and we mostly weren't trading leads. We hiked up there at a grueling pace and still took 1:15 to get there, not the hour the guidebooks put it at. We had a bigger rack - 12 cams, probably two sets of stoppers, three hand-size hexes and four tricams on the smaller end. The crack pitches on the Shield leave you with literally an arms-length left of your 50 meter rope - you better hope you remember not to use too much of the rope for the anchor. Same thing with pro, we thought we had a lot but it all came in handy. There are no bolts at any of the belays or anywhere else on the route."
"chair-peak","TR:  Chair Peak Northeast Buttress","Trip Report for climb of Chair Peak via Northeast Buttress\
\
Short version:  we got schooled on the descent\
\
Long version:\
\
After reading several trip reports on the Internet, Elain and I decided that we wanted to climb Chair Peak via the Northeast Buttress.  From Smoot's guidebook, it sounded like it would be a fairly straightforward, short alpine scramble.  Elain was looking for something more sporty than a hike, and Chair Peak sounded like just the ticket.\
\
We got a late start, due to our somewhat nonchalant attitude about the climb, and finally hit the trail at 8:15 AM on Saturday Sep. 28.  Smoot's book recommends that you approach via the trail going up to the Snow Lake Divide, veering off onto a climber's trail just before the Divide.  Following the climber's trail along the ridge was easy, and after 15 minutes or so, we found ourselves descending the trail into a basin.  In the basin, we encountered a hiker who was also headed up to the Chair Peak area, apparently to retrieve some ski equipment that he had buried there (??).  He led us up and leftward across a talus field, then through some trees, and then across another talus field, until we reached the Thumb Tack rock.   I remember thinking to myself, \""this should be easy to retrace our steps, provided it is still light out\"".  We reached Thumb Tack rock at about 10:30 AM.  From there, Smoot describes two different approaches to the Northeast Buttress, one going directly right and up a gully, and the other going up the talus/snow field and then anging right up a different gully.  We took the first route, as it was reputed to be easier.   After some back-tracking, we found a reasonable line up the gully and eventually reached a pass along a ridgeline.  Dropping to the other side of the pass, we angled up and left along the ridgeline, reaching what we took to be the base of the Northeast Buttress at 11:30.  \
\
At this point, we donned harnesses and helmets and got out the rope, and were ready to roll at noon.  On the Northeast Buttress, Smoot describes two different routes, of which we chose the route that passes through a gully on the right.  The first pitch followed a steep gully that goes straight up, and then angles to the right.  After an aborted attempt to climb up the left side of the gully, I found a line that would work on the right side of the gully.  The second pitch climbed more of the gully, eventually reaching a clump of trees.  Owing to our lack of experience, our progress was slow but steady.  From the ledge in the trees, we chose to simul-climb a ways up a face on the Northeast Buttress, angling slowly left towards the East Face.  In hindsight I'm not sure if this was a good idea.  As I made my way over towards the East Face, I soon found the face of the buttress getting steeper and more exposed, and after a hundred feet or so of the simul-climbing, I decided to set up a belay on a small ledge.  The next pitch was the hardest, as my progress kept getting stymied by blank sections of steep rock.  It was hard to find a place to put in protection, so eventually I just banged in a pin using a rock.  The pin caused a large plate-sized flake to dislodge and tumble down the face (OOPS), so I had to search for a new spot to bash in a pin.  The rock quality seemed to be fairly poor in certain sections, so I had to be very careful not to dislodge large pieces of rock when zigzagging above Elain's belay stance.  \
\
The next pitch was fairly mellow by comparison, and I was on the false summit by about 5:00 PM.  Elain sooned joined me, and we started to think about options for descent.  After some discussion, we decided that we should try to find a gully that would take us down the east side of the mountain, as quickly as possible, owing to the lateness of the hour.  So we rappelled down a southweset-facing gully that terminates in the saddle between the false and true summits.  Within two raps and some downclimbing, we came to a saddle, with the left gully going down the east side, and the right gully facing west.  We could only see about 50 feet down the east-gully, but we could see rap slings, so we decided to give it a try.  We also saw many rap slings that were too high to reach on the walls of the gully, which we assume must have been set up during the winter season. The third rap (first rap down the east gully) went OK, and we came to another set of rap slings.  During the fourth rap (2nd down the east gully), it got dark.  I couldn't believe how fast the time had gone.  I was happy to have my headlamp, even if was an anemic Petzl Tikka.  The fourth rap was periodically overhanging, and due to the lateness of the hour, I could not determine whether the ends of the rope reached a suitable ledge.  Crossing my fingers, I rappelled down into the dark, and to my relief, reached the top of a sloping ledge just as the end of the rope ran through my belay device.  From there, I sought partial refuge under a boulder as Elain started her rappel.  As she rapped, there was a bombardment of rock, channeled down the steep gully.  I felt a heavy thud on my pack as a large rock hit it. \
\
Below us, the angle of the gully moderated a bit, with only occasional steep steps.  The fifth and sixth rappels were on sturdy rock horns, and we reached the top of the talus field at about 9 PM.  \
\
The hike out  proved to be long and confusing.  In the darkness we had a lot of trouble orienting ourselves amidst the seemingly endless talus and steep forest slopes.  We eventually spotted a camp fire somewhere in the Source Lake basin, and we just headed straight for it.  It took 2.5 hours and a lot of bushwhacking to eventually find the campsite.  The campers were evidently watching our headlamps slowly make their way down the talus field. They told us how to bushwhack straight upslope to reach the Snow Lake Trail, and within an hour and a half we reached the car, at 1 AM.  \
\
Lessons learned:  (1) we should have climbed faster, or turned around and gone home; (2) we should have researched our descent options better, to avoid guesswork about the correct gully; (3) we should have gotten an earlier start; (4) we should have carried more water-- 1.5 liters each was insufficient for a 17-hour day.\
\
Gear we used: 9mm x 50m double-rope (used the 2nd rope for the rappels);  BD stoppers up to #10; assorted hexes; #3 angle piton; #2 knifeblade"
"the-tooth","Tooth Expedition 2002","A week ago, M. daLuz and I mounted an expedition to the Tooth. We knocked the bastard off!\
\
We left late, which was dumb. I guess it was my fault. We shouldered our packs and were on the trail at 1:00 pm. Michelle set a strong pace and I followed. (On the trail, I had flashbacks to the infamous \""Alpental Ice\"" trip of last December, when a few UWCC'ers thrutched our way through chest-deep chowder snow while carrying along full ice-climbing kits, all the while looking for the mythical \""great ice at Alpental\"". Three or four hours later, soaked with sweat and having gotten absolutely nowhere (like, 1 mile), we turned back....)\
\
I knew the approach from last year, so it didn't take us too long to get to Pineapple pass. Despite my \""perfect familiarity\"
